Acteur;Domaine;Action;Méthode;URL complète;Bearer token requis;Query params;Path params;Body (si applicable);Type de réponse;Description
PUBLIC;Authentification;Confirmer reset mot de passe;POST;http://localhost:8080/api/auth/password-reset/confirm;Non;-;-;JSON: {email, temporaryPassword, newPassword, confirmPassword};200 JSON PasswordResetSuccessResponse;Valide le mot de passe temporaire et définit un nouveau mot de passe.
PUBLIC;Authentification;Connexion utilisateur;POST;http://localhost:8080/api/auth/login;Non;-;-;JSON: {email, password};200 JSON LoginResponse;Authentifie un utilisateur et renvoie le JWT + infos utilisateur (dont isFirstConnexion).
PUBLIC;Authentification;Demande reset mot de passe;POST;http://localhost:8080/api/auth/password-reset/request;Non;-;-;JSON: {email};200 JSON PasswordResetAckResponse;Déclenche l’envoi d’un mot de passe temporaire si le compte existe.
PUBLIC;Catalogue services;Lister les services;GET;http://localhost:8080/services;Non;-;-;-;200 JSON List<ServiceOptionResponse>;Affiche la liste des services disponibles avec leurs informations (nom, description, image).
PUBLIC;Catalogue services;Lister médecins d’un service;GET;http://localhost:8080/services/{serviceId}/medecins;Non;-;serviceId;-;200 JSON List<MedecinOptionResponse>;Affiche les médecins rattachés à un service donné.
PUBLIC;Disponibilités;Créneaux rapides par service/date;GET;http://localhost:8080/services/{serviceId}/disponibilites;Non;date (required);serviceId;-;200 JSON List<ServiceDisponibiliteResponse>;Retourne les créneaux disponibles d’un service à une date donnée.
PUBLIC;Disponibilités;Lister disponibilités d’un médecin;GET;http://localhost:8080/medecins/{medecinId}/disponibilites;Non;-;medecinId;-;200 JSON List<MedecinDisponibiliteResponse>;Retourne les créneaux disponibles d’un médecin.
PUBLIC;Inscription patient;Créer compte patient;POST;http://localhost:8080/api/patients/register;Non;-;-;JSON: {nom, prenom, telephone, adresse, sexe, dateNaissance, email, ...};201 JSON PatientRegistrationResponse;Inscrit un nouveau patient avec ses informations personnelles.
PUBLIC;Inscription patient;Définir mot de passe initial;POST;http://localhost:8080/api/patients/set-password;Non;-;-;JSON: {email, temporaryPassword, newPassword, confirmPassword};200 JSON PatientSetPasswordResponse;Permet au patient de finaliser son mot de passe après création de compte.
PUBLIC;Orientation IA;Chatbot médical HTML;POST;http://localhost:8080/api/orientation/chat;Non;-;-;JSON: {message};200 text/html;Retourne une réponse HTML d’un chatbot médical strict.
PUBLIC;Orientation IA;Orienter par symptômes;POST;http://localhost:8080/api/orientation/symptomes;Non;-;-;JSON: {message};200 JSON SymptomOrientationResponse;Analyse les symptômes et recommande un service parmi ceux disponibles.
PATIENT;Compte;Changer mot de passe;PUT;http://localhost:8080/api/auth/password;Oui (Bearer);-;-;JSON: {oldPassword, newPassword, confirmNewPassword};200 JSON PasswordChangeSuccessResponse;Permet au patient connecté de modifier son mot de passe.
PATIENT;Portail patient;Lister mes ordonnances;GET;http://localhost:8080/api/patients/me/ordonnances;Oui (Bearer PATIENT);page,size,q,date (optional);-;-;200 JSON PageResponse<PatientOrdonnanceResponse>;Affiche la liste paginée des ordonnances du patient connecté.
PATIENT;Portail patient;Lister mes rendez-vous;GET;http://localhost:8080/api/patients/me/rendezvous;Oui (Bearer PATIENT);page,size,q,date (optional);-;-;200 JSON PageResponse<RendezVousResponse>;Affiche les rendez-vous du patient avec pagination/recherche/filtre date.
PATIENT;Portail patient;Télécharger une ordonnance PDF;GET;http://localhost:8080/api/patients/me/ordonnances/{id}/pdf;Oui (Bearer PATIENT);-;id;-;200 application/pdf;Télécharge le PDF d’une ordonnance appartenant au patient connecté.
PATIENT;Rendez-vous;Annuler un RDV;PATCH;http://localhost:8080/api/rendezvous/{id}/annuler;Oui (Bearer PATIENT);-;id;-;200 JSON RendezVousResponse;Annule un rendez-vous côté patient.
PATIENT;Rendez-vous;Confirmer un RDV proposé;PATCH;http://localhost:8080/api/rendezvous/{id}/confirmer;Oui (Bearer PATIENT);-;id;-;200 JSON RendezVousResponse;Confirme un rendez-vous proposé.
PATIENT;Rendez-vous;Créer une demande de RDV;POST;http://localhost:8080/api/rendezvous;Oui (Bearer PATIENT);-;-;JSON: {dateHeure, serviceId, medecinId};201 JSON RendezVousResponse;Crée un rendez-vous (statut initial EN_ATTENTE).
PATIENT;Rendez-vous;Refuser un RDV proposé;PATCH;http://localhost:8080/api/rendezvous/{id}/refuser;Oui (Bearer PATIENT);-;id;-;200 JSON RendezVousResponse;Refuse le créneau proposé par le médecin.
MEDECIN;Consultation;Ajouter antécédent patient;POST;http://localhost:8080/api/patients/{patientId}/antecedents;Oui (Bearer MEDECIN);-;patientId;JSON: {description};201 JSON AntecedentResponse;Ajoute un nouvel antécédent médical au patient.
MEDECIN;Consultation;Ajouter constantes vitales;POST;http://localhost:8080/api/consultations/{consultationId}/constantes;Oui (Bearer MEDECIN);-;consultationId;JSON: {date, glycemie, tension, poids, imc};201 JSON ConstanteVitaleResponse;Enregistre les constantes vitales pour une consultation.
MEDECIN;Consultation;Créer consultation;POST;http://localhost:8080/api/consultations;Oui (Bearer MEDECIN);-;-;JSON: {rendezVousId, patientId, motif, diagnostic, date};201 JSON ConsultationResponse;Crée une consultation liée à un rendez-vous/patient.
MEDECIN;Consultation;Créer ordonnance;POST;http://localhost:8080/api/consultations/{consultationId}/ordonnance;Oui (Bearer MEDECIN);-;consultationId;JSON: {prescription};201 JSON OrdonnanceResponse;Crée une ordonnance et stocke le PDF associé.
MEDECIN;Consultation;Lister antécédents patient;GET;http://localhost:8080/api/patients/{patientId}/antecedents;Oui (Bearer MEDECIN);-;patientId;-;200 JSON List<AntecedentResponse>;Récupère les antécédents médicaux du patient.
MEDECIN;Disponibilités;Créer une disponibilité;POST;http://localhost:8080/api/medecins/me/disponibilites;Oui (Bearer MEDECIN);-;-;JSON: UpsertDisponibiliteRequest;201 JSON DisponibiliteDetailResponse;Ajoute une nouvelle plage de disponibilité du médecin.
MEDECIN;Disponibilités;Lister mes disponibilités;GET;http://localhost:8080/api/medecins/me/disponibilites;Oui (Bearer MEDECIN);-;-;-;200 JSON List<DisponibiliteDetailResponse>;Affiche toutes les plages de disponibilité du médecin connecté.
MEDECIN;Disponibilités;Modifier une disponibilité;PUT;http://localhost:8080/api/medecins/me/disponibilites/{id};Oui (Bearer MEDECIN);-;id;JSON: UpsertDisponibiliteRequest;200 JSON DisponibiliteDetailResponse;Met à jour une plage de disponibilité existante.
